radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,cod_versio,lang,lang1,lang2,lang3,adm1_ref_n,center_lat,center_lon
GSM,620,2,66,34105,-1,-0.2947,5.6055,1000,3,1,1690799129,1755575396,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,66,34166,-1,-0.2955,5.6072,1000,2,1,1690799129,1729491828,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,14341,-1,-0.2865,5.6783,1000,3,1,1690801413,1736318731,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,24103,-1,-0.2957,5.7026,2501,5,1,1690802049,1736318721,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,14340,-1,-0.2775,5.7126,3320,9,1,1690802049,1738478920,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,24700,-1,-0.2864,5.7085,2648,6,1,1690802958,1739343088,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,34103,-1,-0.2742,5.6892,1323,3,1,1690802049,1736058252,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,14305,-1,-0.3088,5.7509,6052,26,1,1690803918,1755575352,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,34305,-1,-0.3181,5.7596,5901,21,1,1690803918,1755575361,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,24305,-1,-0.3149,5.7368,1747,3,1,1690803918,1755575364,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,23370,-1,-0.3141,5.7549,6663,21,1,1690803918,1755575352,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,13370,-1,-0.3197,5.7579,5853,23,1,1690879972,1755575352,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,33370,-1,-0.3237,5.7615,5261,24,1,1690879972,1755575352,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,23369,-1,-0.3299,5.7633,4574,20,1,1690879972,1743057292,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,13369,-1,-0.3187,5.7576,8478,24,1,1690879972,1755575361,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,23039,-1,-0.3356,5.777,6143,21,1,1690956325,1743057292,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,13261,-1,-0.3248,5.7641,4210,23,1,1690953254,1743057324,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,23091,-1,-0.303,5.788,1202,2,1,1690949516,1736836825,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,14686,-1,-0.3054,5.7454,5380,6,1,1691135177,1743057292,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,14003,-1,-0.3038,5.7508,7704,21,1,1691133267,1755491402,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,36465,-1,-0.3243,5.7521,1030,5,1,1691132319,1752730417,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,23261,-1,-0.3367,5.7749,4785,19,1,1691134413,1743057292,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,24003,-1,-0.3057,5.756,3682,24,1,1691913779,1755491404,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,62,24052,-1,-0.2437,5.6947,1000,3,1,1692153571,1738132519,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,62,16446,-1,-0.2548,5.6928,1921,11,1,1692153571,1738478928,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,62,24339,-1,-0.263,5.6899,5849,14,1,1692153571,1738478925,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,62,36460,-1,-0.2377,5.6995,1694,9,1,1692153571,1738132522,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,55,14103,-1,-0.266,5.6842,2148,3,1,1692153571,1736058264,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,56,18186,-1,-0.2288,5.7322,1000,2,1,1700294163,1730961599,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,56,34293,-1,-0.2278,5.7292,2331,9,1,1700294163,1739515991,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
GSM,620,2,56,24293,-1,-0.2243,5.717,6317,16,1,1700294163,1739947431,0,Greater Accra,,,,GH07,Ghana,,,,GH,2021/03/08 00:00:00,,3699.3252311,V_01,en,,,,Greater Accra,5.78988648,0.2473235
